set,lvl,start,end,diff,ptcp,accuracy
3,7,291006,291488,3.62406015037594,18,0
3,8,294864,295283,3.15037593984962,18,0
3,9,297021,297504,3.63157894736842,18,0
3,10,299134,299565,3.2406015037594,18,0
3,11,301379,301813,3.26315789473684,18,0
3,12,304403,304856,3.40601503759398,18,0
3,13,306486,306909,3.18045112781955,18,0
3,14,308604,309113,3.82706766917293,18,1
3,15,NaN,316201,NaN,18,0
3,16,318095,318542,3.3609022556391,18,0
3,17,320160,320703,4.08270676691729,18,0
3,18,322394,322838,3.33834586466165,18,0
3,19,325031,325492,3.46616541353383,18,0
3,20,327348,328084,5.53383458646617,18,0
3,21,330031,330466,3.27067669172932,18,0
3,22,332362,332881,3.90225563909774,18,0
3,23,334628,335220,4.45112781954887,18,0
3,25,342048,342555,3.81203007518797,18,0
3,26,344221,344803,4.37593984962406,18,1
3,27,NaN,347128,NaN,18,0
3,28,348838,349280,3.32330827067669,18,1
3,29,NaN,351517,NaN,18,0
3,30,355811,356265,3.41353383458647,18,1
3,32,360800,361252,3.3984962406015,18,0
3,33,363475,364020,4.09774436090226,18,1
3,34,366021,366560,4.05263157894737,18,0
1,3,22053,22726,5.06015037593985,17,0
1,4,25211,25850,4.80451127819549,17,0
1,5,NaN,28489,NaN,17,0
1,6,30219,30740,3.91729323308271,17,0
1,9,40223,40746,3.93233082706767,17,0
1,10,42515,43120,4.54887218045113,17,0
1,11,45195,45732,4.03759398496241,17,1
1,12,47446,47940,3.71428571428571,17,0
1,14,56637,57083,3.35338345864662,17,1
1,16,65608,66171,4.23308270676692,17,0
1,17,68009,68581,4.30075187969925,17,0
1,18,70248,70826,4.34586466165414,17,0
1,19,72576,73060,3.6390977443609,17,0
1,20,74799,75386,4.41353383458647,17,0
1,21,77106,77636,3.98496240601504,17,0
1,22,NaN,79777,NaN,17,0
1,23,81436,82062,4.70676691729323,17,1
1,24,83708,84191,3.63157894736842,17,0
1,25,86547,87032,3.64661654135338,17,0
1,26,88750,89258,3.81954887218045,17,0
1,27,91005,91491,3.65413533834586,17,0
1,28,93306,93887,4.36842105263158,17,0
1,29,NaN,96078,NaN,17,0
1,30,97761,98281,3.90977443609023,17,0
1,31,99989,100424,3.27067669172932,17,0
1,32,102118,102561,3.33082706766917,17,0
1,33,104296,104762,3.50375939849624,17,0
1,34,106479,107020,4.06766917293233,17,0
2,0,110958,111389,3.2406015037594,17,0
2,1,113113,113567,3.41353383458647,17,0
2,2,115328,115810,3.62406015037594,17,0
2,3,117476,117953,3.58646616541353,17,0
2,4,119672,120106,3.26315789473684,17,0
2,5,121951,122385,3.26315789473684,17,0
2,6,124283,124728,3.34586466165414,17,0
2,7,126362,126800,3.29323308270677,17,0
2,8,NaN,128884,NaN,17,0
2,9,130740,131175,3.27067669172932,17,0
2,10,132864,133308,3.33834586466165,17,0
2,11,135082,135524,3.32330827067669,17,0
2,13,139869,140303,3.26315789473684,17,0
2,14,142193,142624,3.2406015037594,17,0
2,15,144427,144872,3.34586466165414,17,0
2,16,146581,147020,3.30075187969925,17,0
2,17,148757,149192,3.27067669172932,17,1
2,18,150822,151255,3.25563909774436,17,0
2,19,153002,153459,3.43609022556391,17,0
2,20,156051,156496,3.34586466165414,17,0
2,21,158227,158665,3.29323308270677,17,0
2,22,162288,162723,3.27067669172932,17,0
2,24,171200,171665,3.49624060150376,17,0
2,25,173900,174348,3.36842105263158,17,0
2,26,176137,176608,3.54135338345865,17,0
2,27,NaN,179235,NaN,17,0
2,28,180938,181385,3.3609022556391,17,0
2,29,189406,189851,3.34586466165414,17,1
2,30,191523,191991,3.5187969924812,17,0
2,31,NaN,194140,NaN,17,0
2,32,195871,196312,3.31578947368421,17,0
2,33,203999,204454,3.42105263157895,17,0
2,34,206218,206695,3.58646616541353,17,0
3,0,210434,210878,3.33834586466165,17,0
3,1,212505,212939,3.26315789473684,17,0
3,2,214726,215168,3.32330827067669,17,0
3,3,216938,217437,3.75187969924812,17,1
3,4,219156,219594,3.29323308270677,17,0
3,5,221301,221779,3.59398496240602,17,0
3,6,224367,224803,3.2781954887218,17,0
3,7,226446,226891,3.34586466165414,17,0
3,8,229196,229639,3.33082706766917,17,0
3,9,231305,231757,3.3984962406015,17,0
3,10,233377,233822,3.34586466165414,17,0
3,11,NaN,237623,NaN,17,0
3,12,241247,241688,3.31578947368421,17,0
3,13,244556,245040,3.6390977443609,17,1
3,14,250372,250839,3.51127819548872,17,0
3,15,252552,253033,3.61654135338346,17,0
3,16,255456,255913,3.43609022556391,17,0
3,17,270462,270910,3.36842105263158,17,0
3,18,272870,273306,3.2781954887218,17,0
3,19,275114,275554,3.30827067669173,17,0
3,20,281367,281818,3.39097744360902,17,0
3,21,283560,284031,3.54135338345865,17,0
3,22,287557,287995,3.29323308270677,17,0
3,23,290093,290537,3.33834586466165,17,0
3,24,293294,293739,3.34586466165414,17,0
3,25,295373,295816,3.33082706766917,17,0
3,26,298975,299405,3.23308270676692,17,0
3,27,301230,301680,3.38345864661654,17,0
3,28,305345,305782,3.28571428571429,17,0
3,29,308030,308476,3.35338345864662,17,0
3,30,311019,311453,3.26315789473684,17,0
3,31,313248,313683,3.27067669172932,17,0
3,32,319727,320167,3.30827067669173,17,0
3,33,322311,322758,3.3609022556391,17,0
3,34,324906,325344,3.29323308270677,17,0
1,9,NaN,39365,NaN,16,0
1,12,48687,49271,4.39097744360902,16,0
1,13,53223,54011,5.92481203007519,16,1
1,14,NaN,57595,NaN,16,0
1,17,65803,66584,5.87218045112782,16,0
1,18,68370,68995,4.69924812030075,16,0
1,19,70872,71312,3.30827067669173,16,0
1,21,75756,76191,3.27067669172932,16,0
1,22,79483,79969,3.65413533834586,16,0
1,23,81684,82122,3.29323308270677,16,0
1,24,83798,84242,3.33834586466165,16,0
1,26,89814,90257,3.33082706766917,16,1
1,27,NaN,92823,NaN,16,0
1,28,94533,95083,4.13533834586466,16,0
1,29,97331,97861,3.98496240601504,16,0
1,30,100289,100729,3.30827067669173,16,0
1,31,102401,102917,3.8796992481203,16,1
1,32,NaN,106058,NaN,16,0
1,33,108238,108809,4.29323308270677,16,0
1,34,110501,111135,4.76691729323308,16,1
2,0,114896,115384,3.66917293233083,16,0
2,1,117221,117800,4.35338345864662,16,1
2,2,NaN,119961,NaN,16,0
2,3,122106,122687,4.36842105263158,16,1
2,4,NaN,125371,NaN,16,0
2,5,127165,127836,5.04511278195489,16,0
2,6,129555,130001,3.35338345864662,16,0
2,7,131749,132380,4.74436090225564,16,0
2,8,134064,134578,3.86466165413534,16,0
2,9,136453,136926,3.55639097744361,16,0
2,10,139910,140509,4.50375939849624,16,0
2,11,142159,142818,4.95488721804511,16,0
2,12,144456,145018,4.22556390977444,16,0
2,13,147003,147445,3.32330827067669,16,0
2,14,149900,150454,4.16541353383459,16,0
2,15,152248,152756,3.81954887218045,16,0
2,16,154488,154980,3.69924812030075,16,0
2,17,157230,157782,4.15037593984962,16,0
2,18,160176,160951,5.82706766917293,16,0
2,19,162693,163180,3.66165413533835,16,0
2,20,166360,166828,3.5187969924812,16,0
2,21,169160,169597,3.28571428571429,16,0
2,22,171659,172122,3.4812030075188,16,0
2,23,173875,174336,3.46616541353383,16,0
2,24,176303,176792,3.67669172932331,16,0
2,25,179136,179560,3.18796992481203,16,0
2,26,184792,185235,3.33082706766917,16,0
2,27,187810,188233,3.18045112781955,16,0
2,28,189949,190413,3.48872180451128,16,0
2,31,198666,199169,3.78195488721805,16,0
2,32,200907,201343,3.2781954887218,16,0
2,34,NaN,206496,NaN,16,0
3,0,210661,211090,3.22556390977444,16,0
3,1,214104,214537,3.25563909774436,16,0
3,2,216315,216738,3.18045112781955,16,0
3,5,225006,225427,3.16541353383459,16,0
3,6,227228,227660,3.24812030075188,16,0
3,7,229790,230213,3.18045112781955,16,0
3,8,232462,232886,3.18796992481203,16,0
3,9,235148,235577,3.22556390977444,16,0
3,10,239028,239656,4.7218045112782,16,0
3,12,NaN,245371,NaN,16,0
3,13,247337,247849,3.84962406015038,16,0
3,14,249538,249960,3.17293233082707,16,0
3,15,251892,252316,3.18796992481203,16,0
3,16,253983,254527,4.09022556390977,16,0
3,17,256249,256711,3.47368421052632,16,0
3,19,262709,263133,3.18796992481203,16,0
3,20,264884,265304,3.15789473684211,16,0
3,21,268816,269295,3.6015037593985,16,0
3,22,271273,271745,3.54887218045113,16,0
3,23,273658,274081,3.18045112781955,16,0
3,24,275815,276313,3.74436090225564,16,0
3,25,278074,278604,3.98496240601504,16,0
3,27,284784,285450,5.00751879699248,16,0
3,28,287585,288302,5.39097744360902,16,0
3,29,290294,290761,3.51127819548872,16,0
3,30,292423,292880,3.43609022556391,16,0
3,31,295853,296276,3.18045112781955,16,0
3,32,299115,299577,3.47368421052632,16,1
3,33,NaN,303470,NaN,16,0
1,0,2439,3062,4.68421052631579,15,0
1,1,4904,5504,4.51127819548872,15,0
1,2,7330,7903,4.30827067669173,15,0
1,3,9773,10352,4.35338345864662,15,0
1,4,12992,13672,5.11278195488722,15,1
1,5,NaN,16082,NaN,15,0
1,6,17878,18439,4.21804511278195,15,0
1,7,20302,20820,3.89473684210526,15,0
1,8,22683,23192,3.82706766917293,15,0
1,9,24916,25444,3.96992481203007,15,0
1,11,31524,31995,3.54135338345865,15,0
1,12,33918,34503,4.3984962406015,15,0
1,13,36305,36763,3.44360902255639,15,0
1,14,38489,39131,4.82706766917293,15,0
1,15,41019,41576,4.18796992481203,15,0
1,16,43446,44006,4.21052631578947,15,0
1,17,45875,46399,3.93984962406015,15,0
1,18,48054,48506,3.3984962406015,15,0
1,19,51160,51691,3.99248120300752,15,0
1,20,53488,54011,3.93233082706767,15,0
1,21,55800,56283,3.63157894736842,15,0
1,22,58090,58618,3.96992481203007,15,0
1,24,63521,63996,3.57142857142857,15,0
1,25,65788,66271,3.63157894736842,15,0
1,26,68036,68586,4.13533834586466,15,0
1,27,73008,73501,3.70676691729323,15,0
1,28,75930,76385,3.42105263157895,15,0
1,29,78816,79434,4.64661654135338,15,0
1,30,81318,81785,3.51127819548872,15,0
