,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1201,58038,22.0,1,57593.0,3.345864661654135,tsvr16,none,21.0,58038
1202,61687,23.0,1,61005.0,5.12781954887218,tsvr16,incongruent,22.0,61687
1203,63919,24.0,1,63370.0,4.12781954887218,tsvr16,none,23.0,63919
1204,72730,25.0,1,65699.0,52.86466165413534,tsvr16,incongruent,24.0,72730
1205,74818,26.0,1,74357.0,3.4661654135338344,tsvr16,none,25.0,74818
1206,77411,27.0,1,76948.0,3.481203007518797,tsvr16,congruent,26.0,77411
1207,80934,28.0,1,80472.0,3.473684210526316,tsvr16,incongruent,27.0,80934
1208,83357,29.0,1,82907.0,3.3834586466165413,tsvr16,congruent,28.0,83357
1209,85564,30.0,1,85116.0,3.3684210526315788,tsvr16,congruent,29.0,85564
1210,88084,31.0,1,87522.0,4.225563909774436,tsvr16,congruent,30.0,88084
1211,95430,32.0,1,89821.0,42.17293233082707,tsvr16,incongruent,31.0,95430
1212,97692,33.0,1,97189.0,3.781954887218045,tsvr16,none,32.0,97692
1213,99839,34.0,1,99409.0,3.2330827067669174,tsvr16,congruent,33.0,99839
1214,102363,35.0,1,99.0,768.9022556390977,tsvr16,incongruent,34.0,102363
1215,104743,0.0,2,104318.0,3.1954887218045114,tsvr16,none,0.0,104743
1216,106872,1.0,2,106429.0,3.330827067669173,tsvr16,incongruent,1.0,106872
1217,109895,2.0,2,109432.0,3.481203007518797,tsvr16,incongruent,2.0,109895
1218,113050,3.0,2,112619.0,3.2406015037593985,tsvr16,congruent,3.0,113050
1219,115327,4.0,2,114793.0,4.015037593984962,tsvr16,incongruent,4.0,115327
1220,120758,5.0,2,119734.0,7.6992481203007515,tsvr16,incongruent,5.0,120758
1221,123085,6.0,2,122654.0,3.2406015037593985,tsvr16,congruent,6.0,123085
1222,125223,7.0,2,124804.0,3.1503759398496243,tsvr16,congruent,7.0,125223
1223,129081,8.0,2,128584.0,3.736842105263158,tsvr16,none,8.0,129081
1224,131404,9.0,2,130972.0,3.2481203007518795,tsvr16,none,9.0,131404
