,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
208,300398,27.0,3,299484.0,6.87218045112782,tsvr08,none,26.0,300398
209,302653,28.0,3,302226.0,3.210526315789474,tsvr08,incongruent,27.0,302653
210,305222,29.0,3,304730.0,3.699248120300752,tsvr08,congruent,28.0,305222
211,307516,30.0,3,307010.0,3.8045112781954886,tsvr08,incongruent,29.0,307516
212,309905,31.0,3,309475.0,3.2330827067669174,tsvr08,congruent,30.0,309905
213,311980,32.0,3,311556.0,3.18796992481203,tsvr08,none,31.0,311980
214,314311,33.0,3,313871.0,3.308270676691729,tsvr08,congruent,32.0,314311
215,316575,34.0,3,316058.0,3.887218045112782,tsvr08,none,33.0,316575
216,2879,0.0,1,2426.0,3.406015037593985,tsvr07,incongruent,0.0,2879
217,5248,1.0,1,4820.0,3.218045112781955,tsvr07,incongruent,1.0,5248
218,7382,2.0,1,6953.0,3.225563909774436,tsvr07,congruent,2.0,7382
219,9600,3.0,1,9176.0,3.18796992481203,tsvr07,congruent,3.0,9600
220,11729,4.0,1,11299.0,3.2330827067669174,tsvr07,none,4.0,11729
221,13952,5.0,1,13498.0,3.4135338345864663,tsvr07,congruent,5.0,13952
222,16141,6.0,1,15711.0,3.2330827067669174,tsvr07,congruent,6.0,16141
223,19448,7.0,1,17807.0,12.338345864661655,tsvr07,none,7.0,19448
224,22190,8.0,1,21210.0,7.368421052631579,tsvr07,congruent,8.0,22190
225,24288,9.0,1,23834.0,3.4135338345864663,tsvr07,incongruent,9.0,24288
226,26585,10.0,1,26152.0,3.255639097744361,tsvr07,incongruent,10.0,26584
227,28741,11.0,1,28314.0,3.210526315789474,tsvr07,congruent,11.0,28741
228,33086,12.0,1,30410.0,20.1203007518797,tsvr07,incongruent,12.0,33086
229,40600,13.0,1,35677.0,37.015037593984964,tsvr07,none,13.0,40600
230,42730,14.0,1,42275.0,3.4210526315789473,tsvr07,none,14.0,42730
